[21:06:08] [info] VERTEX: Creating window: Game (1280, 720, 1.7777778)
[21:06:09] [info] VERTEX: GLAD STATUS: 1
[21:06:09] [info] VERTEX: OpenGL Info:
[21:06:09] [info] VERTEX:   Vendor: NVIDIA Corporation
[21:06:09] [info] VERTEX:   Renderer: NVIDIA GeForce GTX 1660 SUPER/PCIe/SSE2
[21:06:09] [info] VERTEX:   Version: 4.6.0 NVIDIA 536.23
[21:06:10] [info] APP: x: -70, y: 0, z: 4
[21:06:10] [info] APP: x: -69, y: 0, z: 6
[21:06:10] [info] APP: x: -68, y: 0, z: 6
[21:06:10] [info] APP: x: -67, y: 0, z: 10
[21:06:10] [info] APP: x: -67, y: 1, z: 9
[21:06:10] [info] APP: x: -67, y: 2, z: 9
[21:06:10] [info] APP: x: -67, y: 3, z: 5
[21:06:10] [info] APP: x: -66, y: 3, z: 6
[21:06:10] [info] APP: x: -65, y: 3, z: 6
[21:06:10] [info] APP: x: -64, y: 3, z: 6
[21:06:10] [info] APP: x: -63, y: 3, z: 6
[21:06:10] [info] APP: x: -62, y: 3, z: 6
[21:06:10] [info] APP: x: -61, y: 3, z: 3
[21:06:10] [info] APP: x: -61, y: 2, z: 13
[21:06:10] [info] APP: x: -61, y: 3, z: 3
[21:06:10] [info] APP: x: -61, y: 2, z: 13
[21:06:10] [info] APP: x: -61, y: 1, z: 8
[21:06:10] [info] APP: x: -61, y: 2, z: 13
[21:06:10] [info] APP: x: -60, y: 2, z: 6
[21:06:10] [info] APP: x: -59, y: 2, z: 10
[21:06:10] [info] APP: x: -59, y: 3, z: 5
[21:06:10] [info] APP: x: -58, y: 3, z: 6
[21:06:10] [info] APP: x: -57, y: 3, z: 15
[21:06:10] [info] APP: x: -57, y: 4, z: 1
[21:06:10] [info] APP: x: -57, y: 3, z: 15
[21:06:10] [info] APP: x: -57, y: 2, z: 8
[21:06:10] [info] APP: x: -57, y: 3, z: 15
[21:06:10] [info] APP: x: -57, y: 2, z: 8
[21:06:10] [info] APP: x: -57, y: 3, z: 15
[21:06:10] [info] APP: x: -56, y: 3, z: 6
[21:06:10] [info] APP: x: -55, y: 3, z: 15
[21:06:10] [info] APP: x: -54, y: 3, z: 6
[21:06:10] [info] APP: x: -53, y: 3, z: 10
[21:06:10] [info] APP: x: -53, y: 4, z: 9
[21:06:10] [info] APP: x: -55, y: 4, z: 9
[21:06:10] [info] APP: x: -53, y: 5, z: 3
[21:06:10] [info] APP: x: -54, y: 5, z: 6
[21:06:10] [info] APP: x: -55, y: 5, z: 5
[21:06:10] [info] APP: x: -55, y: 3, z: 15
[21:06:10] [info] APP: x: -55, y: 2, z: 9
[21:06:10] [info] APP: x: -55, y: 1, z: 9
[21:06:10] [info] APP: x: -55, y: 0, z: 13
[21:06:10] [info] APP: x: -55, y: 1, z: 9
[21:06:10] [info] APP: x: -55, y: 0, z: 13
[21:06:10] [info] APP: x: -55, y: -1, z: 8
[21:06:10] [info] APP: x: -55, y: 0, z: 13
[21:06:10] [info] APP: x: -54, y: 0, z: 6
[21:06:10] [info] APP: x: -53, y: 0, z: 6
[21:06:10] [info] APP: x: -52, y: 0, z: 6
[21:06:10] [info] APP: x: -51, y: 0, z: 6
[21:06:10] [info] APP: x: -50, y: 0, z: 6
[21:06:10] [info] APP: x: -49, y: 0, z: 7
[21:06:10] [info] APP: x: -49, y: -1, z: 8
[21:06:10] [info] APP: x: -49, y: 0, z: 7
