[20:51:08] [info] VERTEX: Creating window: Sandbox (1280, 720, 1.7777778)
[20:51:09] [info] VERTEX: GLAD STATUS: 1
[20:51:09] [info] VERTEX: OpenGL Info:
[20:51:09] [info] VERTEX:   Vendor: NVIDIA Corporation
[20:51:09] [info] VERTEX:   Renderer: NVIDIA GeForce GTX 1660 SUPER/PCIe/SSE2
[20:51:09] [info] VERTEX:   Version: 4.6.0 NVIDIA 536.23
[20:51:09] [trace] VERTEX: Hi
[20:51:09] [info] VERTEX: 375.8495
[20:51:09] [info] VERTEX: 176.58293
[20:51:11] [info] VERTEX: 2592.4778
[20:51:12] [info] VERTEX: 23.89288
[20:51:12] [info] VERTEX: 13.053656
[20:51:12] [info] VERTEX: 13.504028
[20:51:12] [info] VERTEX: 17.644167
[20:51:12] [info] VERTEX: 16.036034
[20:51:12] [info] VERTEX: 22.489548
[20:51:12] [info] VERTEX: 26.697397
[20:51:12] [info] VERTEX: 7.866144
[20:51:12] [info] VERTEX: 8.642435
[20:51:12] [info] VERTEX: 14.254808
[20:51:12] [info] VERTEX: 15.85412
[20:51:12] [info] VERTEX: 17.96937
[20:51:12] [info] VERTEX: 17.220497
[20:51:12] [info] VERTEX: 14.0452385
[20:51:12] [info] VERTEX: 24.202108
[20:51:12] [info] VERTEX: 11.523724
[20:51:12] [info] VERTEX: 20.834684
[20:51:12] [info] VERTEX: 14.335871
[20:51:12] [info] VERTEX: 17.644405
[20:51:12] [info] VERTEX: 19.438982
[20:51:12] [info] VERTEX: 24.51682
[20:51:12] [info] VERTEX: 12.278557
[20:51:12] [info] VERTEX: 8.71253
[20:51:12] [info] VERTEX: 14.697313
[20:51:12] [info] VERTEX: 18.958569
[20:51:12] [info] VERTEX: 15.453815
[20:51:12] [info] VERTEX: 15.388727
[20:51:12] [info] VERTEX: 21.835089
[20:51:12] [info] VERTEX: 14.346838
[20:51:12] [info] VERTEX: 14.148712
[20:51:12] [info] VERTEX: 15.326738
[20:51:12] [info] VERTEX: 20.076036
[20:51:12] [info] VERTEX: 12.946129
